当月通话交往圈人数,当月通话交往圈人数W0,当月通话交往圈人数W1,当月通话交往圈人数W2,当月通话交往圈人数W3,当月通话交往圈人数W4,当月通话交往圈人数W5,当月通话交往圈人数W6,当月通话交往圈人数W7,当月通话交往圈人数W8,当月通话交往圈人数W9
1,-0.727649450302124,-0.9438718557357788,1.6266098022460938,3.264537811279297,-0.1266760677099228,1.2008088827133179,0.7467432022094727,-0.0610000304877758,1.1118404865264893,2.7122962474823
2,-0.4132549464702606,-1.476306676864624,1.8442389965057373,3.4058353900909424,0.07885538786649704,0.7836175560951233,0.7044237852096558,-0.06916745752096176,1.0741972923278809,2.78448748588562
3,-0.49345266819000244,-0.93665611743927,1.6025985479354858,3.3944945335388184,-0.33521974086761475,0.8376057147979736,0.8557264804840088,-0.20603403449058533,1.299591064453125,2.8168909549713135
4,-0.297610342502594,-1.1153563261032104,1.8987804651260376,3.5808944702148438,-0.5096341967582703,0.7305889129638672,1.0808144807815552,-0.5482844114303589,1.2814890146255493,2.665170192718506
5,-0.33629339933395386,-1.2126469612121582,1.3679524660110474,3.0665314197540283,-0.47694092988967896,1.2320079803466797,0.6012297868728638,-0.05841076746582985,1.413548231124878,2.7747626304626465
6,-0.4733627140522003,-1.1317464113235474,1.6780122518539429,3.0081281661987305,-0.6010214686393738,1.2235264778137207,0.3529551923274994,-0.3476124703884125,1.7755159139633179,2.348153829574585
7,-0.2609489858150482,-0.9785529375076294,1.2836010456085205,2.704054355621338,-1.0011043548583984,1.3085232973098755,0.5152456760406494,0.19863830506801605,1.4416640996932983,2.350152015686035
8,-0.17094221711158752,-1.5530076026916504,0.7105545997619629,3.1770403385162354,0.02366587705910206,0.7381922006607056,0.8513926863670349,1.3089669942855835,0.6336020827293396,1.5573740005493164
9,-0.08064931631088257,-1.3800679445266724,1.536514401435852,2.5459859371185303,-0.962062656879425,1.1698027849197388,0.3132078945636749,0.1749732494354248,1.4821993112564087,2.0060393810272217
10,-0.1052960604429245,-1.4087713956832886,1.2023664712905884,2.355194330215454,-0.5682913064956665,0.9382256865501404,0.22313492000102997,1.6860071420669556,-0.07340829074382782,1.8653520345687866
11,-0.07674403488636017,-1.1415836811065674,1.4678624868392944,2.196178674697876,-1.0376403331756592,1.0474517345428467,0.3290247917175293,0.5365896224975586,1.8263946771621704,1.6957683563232422
12,-0.18964634835720062,-1.3175195455551147,1.4764490127563477,2.1302921772003174,-0.8823106288909912,1.215585708618164,0.13862670958042145,0.6637612581253052,1.9267045259475708,1.555838704109192
13,-0.5570476651191711,-0.763022780418396,1.2444263696670532,2.178781509399414,-1.0092828273773193,0.9940866827964783,-0.061867889016866684,0.8206902146339417,1.8967418670654297,1.6901592016220093
