当月网购类应用使用次数,当月网购类应用使用次数W0,当月网购类应用使用次数W1,当月网购类应用使用次数W2,当月网购类应用使用次数W3,当月网购类应用使用次数W4,当月网购类应用使用次数W5,当月网购类应用使用次数W6,当月网购类应用使用次数W7,当月网购类应用使用次数W8,当月网购类应用使用次数W9
0,-1.2799745798110962,-0.18132738769054413,1.0088545083999634,0.2773822546005249,-1.318880319595337,1.6226403713226318,-0.7704793810844421,3.5657033920288086,0.9624412655830383,0.7868186235427856
1,-0.8686307072639465,-0.05783665180206299,1.1488746404647827,0.5917888283729553,-0.6181451082229614,1.2164320945739746,-0.22969287633895874,2.502753734588623,0.802522599697113,0.8806921243667603
2,-0.8508320450782776,-0.1745634377002716,0.8330629467964172,0.47147488594055176,-0.7097356915473938,1.2895317077636719,-0.2840266823768616,2.5218536853790283,0.9173043370246887,0.9328433871269226
3,-0.6625123620033264,-0.15651564300060272,1.1605640649795532,0.6727588772773743,-0.626734733581543,1.087841510772705,-0.17849834263324738,2.344754695892334,0.5630309581756592,1.181439995765686
4,-0.7268856763839722,-0.07467686384916306,1.1635332107543945,0.5884251594543457,-0.7156437635421753,1.2413866519927979,-0.24470262229442596,2.3815102577209473,0.7271870970726013,0.88456791639328
5,-0.40229398012161255,0.13636747002601624,1.32883882522583,0.6810939908027649,-0.8007442355155945,1.278712272644043,-0.35096508264541626,2.171381711959839,0.6949354410171509,1.1416770219802856
6,-0.9253942966461182,-0.15772473812103271,1.2035963535308838,0.7302672863006592,-0.39218974113464355,1.3510777950286865,-0.18470150232315063,2.2124903202056885,0.7781727313995361,1.0781611204147339
7,-0.6048315763473511,-0.15468725562095642,1.2763900756835938,0.8488789796829224,-0.8162732720375061,1.3684067726135254,-0.27969327569007874,2.2649953365325928,0.5174238085746765,0.9787533283233643
8,-0.6485865712165833,-0.0806504487991333,1.2486491203308105,0.643727719783783,-0.7436583042144775,1.3828943967819214,-0.2963579595088959,2.1580302715301514,0.6921120285987854,1.0719349384307861
9,-0.5801272988319397,-0.18005351722240448,1.0676617622375488,0.719596803188324,-0.7938616871833801,1.433825969696045,-0.2418195605278015,2.130213737487793,0.7590654492378235,1.2609782218933105
