用户账单当月总费用（元）,用户账单当月总费用（元）W0,用户账单当月总费用（元）W1,用户账单当月总费用（元）W2,用户账单当月总费用（元）W3,用户账单当月总费用（元）W4,用户账单当月总费用（元）W5,用户账单当月总费用（元）W6,用户账单当月总费用（元）W7,用户账单当月总费用（元）W8,用户账单当月总费用（元）W9
0.0,-1.4728834629058838,-0.7715057730674744,-0.19230403006076813,3.0806779861450195,-1.1057208776474,0.11334578692913055,-0.5250380039215088,5.598949909210205,0.4058324694633484,-1.236022710800171
1.0,-0.727649450302124,-0.9438718557357788,1.6266098022460938,3.264537811279297,-0.1266760677099228,1.2008088827133179,0.7467432022094727,-0.0610000304877758,1.1118404865264893,2.7122962474823
2.0,-0.4132549464702606,-1.476306676864624,1.8442389965057373,3.4058353900909424,0.07885538786649704,0.7836175560951233,0.7044237852096558,-0.06916745752096176,1.0741972923278809,2.78448748588562
3.0,-0.49345266819000244,-0.93665611743927,1.6025985479354858,3.3944945335388184,-0.33521974086761475,0.8376057147979736,0.8557264804840088,-0.20603403449058533,1.299591064453125,2.8168909549713135
4.0,-0.297610342502594,-1.1153563261032104,1.8987804651260376,3.5808944702148438,-0.5096341967582703,0.7305889129638672,1.0808144807815552,-0.5482844114303589,1.2814890146255493,2.665170192718506
5.0,-0.33629339933395386,-1.2126469612121582,1.3679524660110474,3.0665314197540283,-0.47694092988967896,1.2320079803466797,0.6012297868728638,-0.05841076746582985,1.413548231124878,2.7747626304626465
6.0,-0.4733627140522003,-1.1317464113235474,1.6780122518539429,3.0081281661987305,-0.6010214686393738,1.2235264778137207,0.3529551923274994,-0.3476124703884125,1.7755159139633179,2.348153829574585
3.5,0.05287632718682289,-0.007074692752212286,0.06018224358558655,0.07331301271915436,-0.0485166534781456,-0.011615829542279243,0.00654944684356451,0.056732505559921265,0.018453136086463928,0.05546271428465843
8.0,-0.17094221711158752,-1.5530076026916504,0.7105545997619629,3.1770403385162354,0.02366587705910206,0.7381922006607056,0.8513926863670349,1.3089669942855835,0.6336020827293396,1.5573740005493164
8.25,-0.0014838487841188908,-0.01637963205575943,0.09318360686302185,0.10368965566158295,-0.060187794268131256,0.07063247263431549,-0.04234069585800171,0.2014870047569275,0.06981860101222992,0.05881033465266228
10.0,-0.1052960604429245,-1.4087713956832886,1.2023664712905884,2.355194330215454,-0.5682913064956665,0.9382256865501404,0.22313492000102997,1.6860071420669556,-0.07340829074382782,1.8653520345687866
11.0,-0.07674403488636017,-1.1415836811065674,1.4678624868392944,2.196178674697876,-1.0376403331756592,1.0474517345428467,0.3290247917175293,0.5365896224975586,1.8263946771621704,1.6957683563232422
12.0,-0.18964634835720062,-1.3175195455551147,1.4764490127563477,2.1302921772003174,-0.8823106288909912,1.215585708618164,0.13862670958042145,0.6637612581253052,1.9267045259475708,1.555838704109192
8.5,0.13071675598621368,-0.006698548328131437,0.16217991709709167,0.24651536345481873,-0.08925475180149078,0.10536175966262817,-0.011698314920067787,0.2507714033126831,0.012534505687654018,0.07404143363237381
14.0,-0.5802260637283325,-0.3866037130355835,1.419914960861206,2.0008280277252197,-1.1185531616210938,0.8406884074211121,-0.15668602287769318,0.9375008344650269,1.8138153553009033,1.6518062353134155
15.0,-0.5654653906822205,-0.6236793398857117,1.091220498085022,2.481105089187622,-1.0122843980789185,0.8904776573181152,0.23092275857925415,0.9543759226799011,1.6722140312194824,1.513197898864746
16.0,-0.437957227230072,-0.8956423401832581,1.0509992837905884,2.2895820140838623,-1.0566380023956299,0.8239380121231079,0.22271579504013062,1.5705569982528687,1.081727147102356,1.0110894441604614
14.5,0.041023485362529755,-0.12704388797283173,-0.011628301814198494,0.17623473703861237,-0.09335951507091522,0.054683830589056015,-0.1168048158288002,0.36644601821899414,0.04151478037238121,0.007138925604522228
18.0,0.527644693851471,-3.7141880989074707,-0.8648219108581543,4.183991432189941,1.2356332540512085,0.6037454605102539,0.9803943634033203,2.8169195652008057,0.6522073745727539,1.19185471534729
